a	model	nth	tp_pooled
1.4	Xa_ktcov	4	105
1.5	Xa_ktcov	4	13
0.0	Xa_ktcov	5	4820
0.1	Xa_ktcov	5	5195
0.2	Xa_ktcov	5	5650
0.3	Xa_ktcov	5	6414
0.4	Xa_ktcov	5	7390
0.5	Xa_ktcov	5	8836
0.525	Xa_ktcov	5	9272
0.55	Xa_ktcov	5	9698
0.575	Xa_ktcov	5	10180
0.6	Xa_ktcov	5	10690
0.625	Xa_ktcov	5	11241
0.65	Xa_ktcov	5	11719
0.675	Xa_ktcov	5	12356
0.7	Xa_ktcov	5	13088
0.725	Xa_ktcov	5	13688
0.75	Xa_ktcov	5	14339
0.775	Xa_ktcov	5	14629
0.8	Xa_ktcov	5	14757
0.825	Xa_ktcov	5	15409
0.85	Xa_ktcov	5	15321
0.875	Xa_ktcov	5	14218
0.9	Xa_ktcov	5	13843
0.925	Xa_ktcov	5	12552
0.95	Xa_ktcov	5	10979
0.975	Xa_ktcov	5	9509
1.0	Xa_ktcov	5	8186
1.1	Xa_ktcov	5	3640
1.2	Xa_ktcov	5	1371
1.3	Xa_ktcov	5	499
1.4	Xa_ktcov	5	119
1.5	Xa_ktcov	5	14
0.0	Xa_ktcov	6	4823
0.1	Xa_ktcov	6	5255
0.2	Xa_ktcov	6	5725
0.3	Xa_ktcov	6	6445
0.4	Xa_ktcov	6	7391
0.5	Xa_ktcov	6	8900
0.525	Xa_ktcov	6	9351
0.55	Xa_ktcov	6	9832
0.575	Xa_ktcov	6	10356
0.6	Xa_ktcov	6	10915
0.625	Xa_ktcov	6	11515
0.65	Xa_ktcov	6	11815
0.675	Xa_ktcov	6	12457
0.7	Xa_ktcov	6	13088
0.725	Xa_ktcov	6	13749
0.75	Xa_ktcov	6	14396
0.775	Xa_ktcov	6	14975
0.8	Xa_ktcov	6	15029
0.825	Xa_ktcov	6	15443
0.85	Xa_ktcov	6	15528
0.875	Xa_ktcov	6	14844
0.9	Xa_ktcov	6	14018
0.925	Xa_ktcov	6	12945
0.95	Xa_ktcov	6	11382
0.975	Xa_ktcov	6	9923
1.0	Xa_ktcov	6	8503
1.1	Xa_ktcov	6	3994
1.2	Xa_ktcov	6	1385
1.3	Xa_ktcov	6	561
1.4	Xa_ktcov	6	137
1.5	Xa_ktcov	6	17
0.0	sym_max	1	3848
0.1	sym_max	1	4229
0.2	sym_max	1	4717
0.3	sym_max	1	5413
0.4	sym_max	1	6548
0.5	sym_max	1	8130
0.525	sym_max	1	8590
0.55	sym_max	1	8999
0.575	sym_max	1	9473
0.6	sym_max	1	9964
0.625	sym_max	1	10478
0.65	sym_max	1	9694
0.675	sym_max	1	8773
0.7	sym_max	1	7878
0.725	sym_max	1	7102
0.75	sym_max	1	6315
0.775	sym_max	1	5594
0.8	sym_max	1	4979
0.825	sym_max	1	4365
0.85	sym_max	1	3820
0.875	sym_max	1	3311
0.9	sym_max	1	2840
0.925	sym_max	1	2421
0.95	sym_max	1	2047
0.975	sym_max	1	1700
1.0	sym_max	1	1382
1.1	sym_max	1	542
1.2	sym_max	1	189
1.3	sym_max	1	77
1.4	sym_max	1	15
1.5	sym_max	1	1
0.0	sym_max	2	3974
0.1	sym_max	2	4368
0.2	sym_max	2	4886
0.3	sym_max	2	5633
0.4	sym_max	2	6748
0.5	sym_max	2	8294
0.525	sym_max	2	8848
0.55	sym_max	2	9331
0.575	sym_max	2	9806
0.6	sym_max	2	10303
0.625	sym_max	2	10673
0.65	sym_max	2	11053
0.675	sym_max	2	11703
0.7	sym_max	2	12352
0.725	sym_max	2	13037
0.75	sym_max	2	12983
0.775	sym_max	2	11871
0.8	sym_max	2	10821
0.825	sym_max	2	9829
0.85	sym_max	2	8941
0.875	sym_max	2	8091
0.9	sym_max	2	7260
0.925	sym_max	2	6465
0.95	sym_max	2	5749
0.975	sym_max	2	5079
1.0	sym_max	2	4499
1.1	sym_max	2	2560
1.2	sym_max	2	1140
1.3	sym_max	2	217
1.4	sym_max	2	24
1.5	sym_max	2	3
0.0	sym_max	3	4659
0.1	sym_max	3	4933
0.2	sym_max	3	5251
0.3	sym_max	3	5840
0.4	sym_max	3	6857
0.5	sym_max	3	8475
0.525	sym_max	3	8878
0.55	sym_max	3	9422
0.575	sym_max	3	10042
0.6	sym_max	3	10696
0.625	sym_max	3	10843
0.65	sym_max	3	11460
0.675	sym_max	3	12102
0.7	sym_max	3	12744
0.725	sym_max	3	13435
0.75	sym_max	3	13766
0.775	sym_max	3	14493
0.8	sym_max	3	15164
0.825	sym_max	3	15069
0.85	sym_max	3	14992
0.875	sym_max	3	14297
0.9	sym_max	3	12563
0.925	sym_max	3	11022
0.95	sym_max	3	9647
0.975	sym_max	3	8297
1.0	sym_max	3	7111
1.1	sym_max	3	3370
1.2	sym_max	3	1384
1.3	sym_max	3	330
1.4	sym_max	3	46
1.5	sym_max	3	4
0.0	sym_max	4	4712
0.1	sym_max	4	5051
0.2	sym_max	4	5460
0.3	sym_max	4	6125
0.4	sym_max	4	7075
0.5	sym_max	4	8699
0.525	sym_max	4	9247
0.55	sym_max	4	9848
0.575	sym_max	4	10402
0.6	sym_max	4	10992
0.625	sym_max	4	11413
0.65	sym_max	4	12222
0.675	sym_max	4	12958
0.7	sym_max	4	13669
0.725	sym_max	4	14196
0.75	sym_max	4	14172
0.775	sym_max	4	14976
0.8	sym_max	4	15286
0.825	sym_max	4	15508
0.85	sym_max	4	15342
0.875	sym_max	4	14887
0.9	sym_max	4	13660
0.925	sym_max	4	11972
0.95	sym_max	4	10403
0.975	sym_max	4	8983
1.0	sym_max	4	7678
1.1	sym_max	4	3579
1.2	sym_max	4	1400
1.3	sym_max	4	379
1.4	sym_max	4	69
1.5	sym_max	4	5
0.0	sym_max	5	4754
0.1	sym_max	5	5184
0.2	sym_max	5	5510
0.3	sym_max	5	6192
0.4	sym_max	5	7330
0.5	sym_max	5	8924
0.525	sym_max	5	9400
0.55	sym_max	5	9884
0.575	sym_max	5	10455
0.6	sym_max	5	11169
0.625	sym_max	5	11603
0.65	sym_max	5	12281
0.675	sym_max	5	13050
0.7	sym_max	5	13775
0.725	sym_max	5	14436
0.75	sym_max	5	15100
0.775	sym_max	5	15241
0.8	sym_max	5	15698
0.825	sym_max	5	15899
0.85	sym_max	5	15375
0.875	sym_max	5	14959
