cv_fold	a	model	level	auprc	max_recall	recall@P99	recall@P95	recall@P90	tp_before_1st_global_fp
0	0.2	Xa_ktcov	fold	0.0163977305898154	0.8186606583905188	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1270
0	0.2	Xa_ktcov	superfamily	0.4048238078465743	0.9038053622225082	0.0669877492693912	0.1566804610747061	0.2293103395556627	1270
0	0.2	sym_max	family	0.7905046867760623	0.9541629584556424	0.4472563613705163	0.6591556304633555	0.7145187933859691	1292
0	0.2	sym_max	fold	0.0156486842400703	0.8186606583905353	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1292
0	0.2	sym_max	superfamily	0.403950946299697	0.903805362222511	0.0649230760653914	0.1483304802552027	0.2307280917093152	1292
0	0.2	sym_mean	family	0.7946096323013335	0.9541629584556428	0.4657563345140552	0.6646070630091039	0.7205417641696319	1320
0	0.2	sym_mean	fold	0.0176772851643378	0.818660658390543	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1320
0	0.2	sym_mean	superfamily	0.4112927032710676	0.903805362222512	0.066613802087245	0.1531674295256806	0.2334884270386516	1320
0	0.2	sym_min	family	0.796564265050322	0.9541629584556426	0.4837616643606606	0.6662846658564543	0.7242767392024699	1352
0	0.2	sym_min	fold	0.0190122878559417	0.8186606583905437	4.225292601512655e-05	4.225292601512655e-05	4.225292601512655e-05	1352
0	0.2	sym_min	superfamily	0.4149246676551607	0.9038053622225124	0.0691839910676425	0.1576042857836293	0.2380940271737416	1352
1	0.2	Xa	family	0.8152106656846441	0.9614991793099176	0.557167477776936	0.7096418293352266	0.7488624622360076	2165
1	0.2	Xa	fold	0.0167432480796663	0.830661375783302	0.0001798480284159	0.0001798480284159	0.0005321691482385	2165
1	0.2	Xa	superfamily	0.4225887203909377	0.9184131139050226	0.1171448607599122	0.2319570586093674	0.2815041292415373	2165
1	0.2	Xa_cov70	family	0.7602843111575868	0.9614991793099196	0.5900919292841839	0.6955652257628874	0.7211391900734956	2120
1	0.2	Xa_cov70	fold	0.0257468507702286	0.8306613757831913	0.0001798480284159	0.0001798480284159	0.0005008319917721	2120
1	0.2	Xa_cov70	superfamily	0.4053642959203772	0.9184131139050374	0.1447702919318328	0.2310237448482802	0.2940469629190536	2120
1	0.2	Xa_ktcov	family	0.8258710538147591	0.961499179309919	0.557046074249658	0.7321831238601313	0.7625601339618706	2144
1	0.2	Xa_ktcov	fold	0.0219920450951422	0.8306613757832422	0.0001798480284159	0.0001798480284159	0.0005280458381771	2144
1	0.2	Xa_ktcov	superfamily	0.4454558621080403	0.9184131139050262	0.1193697673401982	0.2393712570302786	0.304286693201271	2144
1	0.2	sym_max	family	0.8270656291647228	0.9614991793099188	0.5533714715319604	0.728545073605645	0.7672739806055661	2117
1	0.2	sym_max	fold	0.0215015644066584	0.8306613757832704	0.0001348860213119	0.0001348860213119	0.00059072015111	2117
1	0.2	sym_max	superfamily	0.4476336089594991	0.9184131139050288	0.1222023330148921	0.2312081174285426	0.3005391468788069	2117
1	0.2	sym_mean	family	0.8292687866273527	0.9614991793099188	0.5588182879423571	0.7299359261840288	0.7655666628458979	2112
1	0.2	sym_mean	fold	0.0234809068385935	0.8306613757832721	0.0001348860213119	0.0001348860213119	0.0006835988114991	2112
1	0.2	sym_mean	superfamily	0.4526450105777382	0.9184131139050308	0.1326994952437047	0.2321606398368563	0.3052088965010037	2112
1	0.2	sym_min	family	0.8294966116804119	0.961499179309919	0.562811306301762	0.734953869961615	0.766609893662284	2109
1	0.2	sym_min	fold	0.0245772877158095	0.8306613757832716	0.0001348860213119	0.0001348860213119	0.0006865534576802	2109
1	0.2	sym_min	superfamily	0.4537680828717439	0.9184131139050308	0.1431225486403961	0.2336715149908134	0.3068117227216112	2109
2	0.2	Xa	family	0.754205119136998	0.953612470001587	0.4704760584485919	0.6137590020437715	0.6676798638493918	1215
2	0.2	Xa	fold	0.0131282147789655	0.8704769921228374	0.0	0.0	0.0	1215
